SOURCE_ID,DATE,PERMITTED_ACRES,COMPLETED_ACRES,BURN_NAME,BURNTYPE_REPORTED,ENTITY_REQUESTING,LAT_PERMIT,LON_PERMIT,BURN_STATUS
KNF0437B,2021-10-04,1043,534,Russell,Broadcast,"U.S. Forest Service, Kaibab, Tusayan",35.897,-111.89499999999998,Complete
KNF0437B,2021-10-05,500,0,Russell,Broadcast,"U.S. Forest Service, Kaibab, Tusayan",35.897,-111.89499999999998,Incomplete
KNF0133P,2021-10-05,178,50,South Side Piles,Pile,"U.S. Forest Service, Kaibab, Williams",35.18043310752074,-112.07465820312501,Complete
KNF0128P,2021-10-05,90,90,North Side Piles,Pile,"U.S. Forest Service, Kaibab, Williams",35.352,-112.082,Complete
KNF0133P,2021-10-06,140,140,South Side Piles,Pile,"U.S. Forest Service, Kaibab, Williams",35.213,-112.377,Complete
KNF0128P,2021-10-06,135,135,North Side Piles,Pile,"U.S. Forest Service, Kaibab, Williams",35.341,-112.08651498413086,Complete
KNF0133P,2021-10-07,300,246,South Side Piles,Pile,"U.S. Forest Service, Kaibab, Williams",35.17094971082971,-112.04993743896485,Complete
KNF0128P,2021-10-12,60,0,North Side Piles,Pile,"U.S. Forest Service, Kaibab, Williams",35.27075996766635,-112.06655952453613,Incomplete
KNF0133P,2021-10-12,398,398,South Side Piles,Pile,"U.S. Forest Service, Kaibab, Williams",35.168915010993864,-112.173876953125,Complete
AZSNO2101P,2021-10-13,2,1,Snowbowl Machine Piles,Pile,"Arizona Snowbowl, Arizona Snowbowl, Arizona Snowbowl",35.33273087708439,-111.69958379364013,Complete
KNF0128P,2021-10-13,60,40,North Side Piles,Pile,"U.S. Forest Service, Kaibab, Williams",35.2727921158333,-112.05617401123047,Complete
PNF0337P,2021-10-13,30,27,West Zone Piles,Pile,"U.S. Forest Service, Prescott, Bradshaw",34.5837864822316,-112.5587407836914,Complete
PNF0337P,2021-10-14,30,25,West Zone Piles,Pile,"U.S. Forest Service, Prescott, Bradshaw",34.448566864061775,-112.43814866638184,Complete
PNF0337P,2021-10-15,30,10,West Zone Piles,Pile,"U.S. Forest Service, Prescott, Bradshaw",34.49222604553258,-112.35429208374023,Complete
PNF0337P,2021-10-16,30,10,West Zone Piles,Pile,"U.S. Forest Service, Prescott, Bradshaw",34.49767299497338,-112.34279077148437,Complete
PNF0337P,2021-10-17,30,7,West Zone Piles,Pile,"U.S. Forest Service, Prescott, Bradshaw",34.49597528266763,-112.3580686340332,Complete
GCP0303P,2021-10-18,5,0,South Rim Piles,Pile,"National Park Service, NA, Grand Canyon Park",35.998336588023705,-112.03339013671875,Incomplete
ASF0772P,2021-10-18,30,0,Lakeside Piles,Pile,"U.S. Forest Service, Apache Sitgreaves, Lakeside",34.25250338886943,-109.80459650793456,Incomplete
PNF0337P,2021-10-18,30,0,West Zone Piles,Pile,"U.S. Forest Service, Prescott, Bradshaw",34.50078537774872,-112.34948556518555,Incomplete
TNF0531P,2021-10-18,100,0,Chamberlain,Pile,"U.S. Forest Service, NA, Payson",34.282,-110.91589999999997,Incomplete
ASF0772P,2021-10-19,30,15,Lakeside Piles,Pile,"U.S. Forest Service, Apache Sitgreaves, Lakeside",34.252,-109.803846,Complete
PNF0337P,2021-10-19,50,36,West Zone Piles,Pile,"U.S. Forest Service, Prescott, Bradshaw",34.48373658382334,-112.35154550170898,Complete
COF0703P,2021-10-19,2,2,Bly Pit,Pile,"U.S. Forest Service, Coconino, Mogollon",34.674,-111.118,Complete
TNF0531P,2021-10-19,150,150,Chamberlain,Pile,"U.S. Forest Service, NA, Payson",34.25802569746901,-110.91222344970703,Complete
COF0703P,2021-10-19,2,2,Bly Pit,Pile,"U.S. Forest Service, Coconino, Mogollon",34.674,-111.118,Complete
ASF0772P,2021-10-20,15,15,Lakeside Piles,Pile,"U.S. Forest Service, Apache Sitgreaves, Lakeside",34.256,-109.801096,Complete
PNF0337P,2021-10-20,25,20,West Zone Piles,Pile,"U.S. Forest Service, Prescott, Bradshaw",34.48267534035234,-112.35274713134766,Complete
TNF0531P,2021-10-20,150,150,Chamberlain,Pile,"U.S. Forest Service, NA, Payson",34.282,-110.91589999999997,Complete
PNF0337P,2021-10-21,40,11,West Zone Piles,Pile,"U.S. Forest Service, Prescott, Bradshaw",34.47407877067449,-112.37038533782959,Complete
COF0734B,2021-10-25,600,0,Upper Beaver Creek,Broadcast,"U.S. Forest Service, Coconino, Mogollon",34.75954335568843,-111.46181466674804,Incomplete
KNF0438B,2021-10-25,228,228,Reed,Broadcast,"U.S. Forest Service, Kaibab, Tusayan",35.977,-112.065,Complete
PNF0337P,2021-10-26,150,150,West Zone Piles,Pile,"U.S. Forest Service, Prescott, Bradshaw",34.47453869188883,-112.35798280334473,Complete
AZSNO2101P,2021-10-27,1,1,Snowbowl Machine Piles,Pile,"Arizona Snowbowl, Arizona Snowbowl, Arizona Snowbowl",35.33021172995469,-111.70069389343263,Complete
GCP0303P,2021-10-27,5,3,South Rim Piles,Pile,"National Park Service, NA, Grand Canyon Park",35.99531589234151,-112.12175283050537,Complete
PNF0337P,2021-10-27,150,75,West Zone Piles,Pile,"U.S. Forest Service, Prescott, Bradshaw",34.47521087987303,-112.35849778747559,Complete
GCP0303P,2021-10-28,5,2,South Rim Piles,Pile,"National Park Service, NA, Grand Canyon Park",35.995142285625846,-112.12136659240723,Complete
ASF637B,2021-10-28,33,0,Cerro Trigo,Broadcast,"U.S. Forest Service, Apache Sitgreaves, Springerville",34.20161106418529,-109.54445533752443,Incomplete
PNF0337P,2021-10-28,30,28,West Zone Piles,Pile,"U.S. Forest Service, Prescott, Bradshaw",34.47397263464969,-112.36991326904297,Complete
