Burn Date,Air District,County,Air Basin,Acres Requested,Acres Burned,Latitude,Longitude,Legal Location,Agency,Burn Unit,Burn Type,Fuel Type,Total Tons
2/26/2016,Great Basin Unified APCD,Mono,Great Basin Valleys,14,10,37.777,-119.103,"T13N R17E S15, 21, 22, 28",US Forest Service,DZ-08,Hand Pile,Slash,67.5
2/26/2016,El Dorado County AQMD,El Dorado,Mountain Counties,30,25,38.899,-120.573,"T13N R17E S15, 21, 22, 28",Sierra Pacific Industries,"Wentworth Sissy King Emergency Notice Area, Part II",Machine Pile,Slash,375
2/29/2016,Placer County APCD,Placer,Lake Tahoe,2,1.5,39.19,-120.131,"T13N R17E S15, 21, 22, 28",California State Parks,BCSP Hand Piles,Hand Pile,Slash,30
2/29/2016,Butte County AQMD,Butte,Sacramento Valley,3,2,39.52,-121.45,"T13N R17E S15, 21, 22, 28",Cal Fire,Loafer Creek 08,Hand Pile,Brush,8
2/29/2016,El Dorado County AQMD,El Dorado,Lake Tahoe,5,3,38.898,-120.013,"T13N R17E S15, 21, 22, 28",US Forest Service,Twin Peaks 203,Hand Pile,Slash,60
2/29/2016,El Dorado County AQMD,El Dorado,Mountain Counties,10,5,38.848,-120.601,"T13N R17E S15, 21, 22, 28",Sierra Pacific Industries,Sugar Brush EN Broadcast,Broadcast,Slash,75
2/29/2016,El Dorado County AQMD,El Dorado,Mountain Counties,25,10,38.863,-120.586,"T13N R17E S15, 21, 22, 28",Sierra Pacific Industries,Kings Sugar Emergency Notice Area,Machine Pile,Slash,150
2/29/2016,El Dorado County AQMD,El Dorado,Mountain Counties,25,15,38.859,-120.603,"T13N R17E S15, 21, 22, 28",Sierra Pacific Industries,Sugar Brush Emergency Notice Area,Machine Pile,Slash,225
2/29/2016,El Dorado County AQMD,El Dorado,Lake Tahoe,20,20,38.898,-120.013,"T13N R17E S15, 21, 22, 28",US Forest Service,Twin Peaks 203,Hand Pile,Slash,400
2/29/2016,Northern Sierra AQMD,Plumas,Mountain Counties,30,30,39.974,-120.852,"T13N R17E S15, 21, 22, 28",US Forest Service,Empire Unit 1,Broadcast,Natural,300
2/29/2016,Northern Sierra AQMD,Plumas,Mountain Counties,30,30,39.974,-120.852,"T13N R17E S15, 21, 22, 28",US Forest Service,Empire Unit 1,Broadcast,Natural,300
2/29/2016,El Dorado County AQMD,El Dorado,Mountain Counties,75,50,38.903,-120.588,"T13N R17E S15, 21, 22, 28",US Forest Service,Stumpy Meadows Pile Unit,Machine Pile,Natural,750
2/29/2016,Great Basin Unified APCD,Mono,Great Basin Valleys,50,50,37.777,-119.025,"T13N R17E S15, 21, 22, 28",US Forest Service,Hartley #4,Hand Pile,Slash,105
2/29/2016,Butte County AQMD,Butte,Sacramento Valley,100,60,39.68,-121.348,"T13N R17E S15, 21, 22, 28",US Forest Service,Brush Creek Unit A,Broadcast,Natural,600
2/29/2016,Great Basin Unified APCD,Mono,Great Basin Valleys,74,70,37.777,-119.025,"T13N R17E S15, 21, 22, 28",US Forest Service,Hartley #4,Hand Pile,Slash,147
2/29/2016,Butte County AQMD,Butte,Sacramento Valley,100,90,39.68,-121.348,"T13N R17E S15, 21, 22, 28",National Park Service,Brush Creek Unit A,Broadcast,Natural,900
2/29/2016,Great Basin Unified APCD,Inyo,Great Basin Valleys,117,117,36.887,-118.233,"T13N R17E S15, 21, 22, 28",Individual,Division B,Broadcast,Natural,585
3/1/2016,Butte County AQMD,Butte,Sacramento Valley,3,1,39.52,-121.45,"T13N R17E S15, 21, 22, 28",Cal Fire,Loafer Creek 08,Hand Pile,Brush,4
3/1/2016,Great Basin Unified APCD,Inyo,Great Basin Valleys,1,1,36.869,-118.159,T24N R10E S3,County of Inyo,Lower Owens River Project,Broadcast,UNK,10
3/1/2016,Placer County APCD,Placer,Lake Tahoe,2,2,39.19,-120.131,"T13N R17E S15, 21, 22, 28",California State Parks,BCSP Hand Piles,Hand Pile,Slash,40
3/1/2016,El Dorado County AQMD,El Dorado,Lake Tahoe,8,8,38.989,-120.1,"T13N R17E S15, 21, 22, 28",California State Parks,DL Bliss SP Hand Piles,Hand Pile,Slash,160
3/1/2016,El Dorado County AQMD,El Dorado,Mountain Counties,23,23,38.903,-120.588,"T13N R17E S15, 21, 22, 28",US Forest Service,Stumpy Meadows Pile Unit,Machine Pile,Natural,345
3/1/2016,Northern Sierra AQMD,Plumas,Mountain Counties,33,33,39.974,-120.852,"T13N R17E S15, 21, 22, 28",US Forest Service,Empire Unit 1,Broadcast,Natural,330
3/1/2016,Butte County AQMD,Butte,Sacramento Valley,40,40,39.68,-121.348,"T13N R17E S15, 21, 22, 28",US Forest Service,Brush Creek Unit A,Broadcast,Natural,400
3/1/2016,Great Basin Unified APCD,Mono,Great Basin Valleys,69,69,37.727,-118.994,"T13N R17E S15, 21, 22, 28",US Forest Service,7A,Hand Pile,Slash,217.35
3/2/2016,Glenn County APCD,Glenn,Sacramento Valley,22,1,39.654,-122.738,T13N R17E S4 9 10 16,US Forest Service,Unit 9,Broadcast,Slash,8
3/2/2016,Glenn County APCD,Glenn,Sacramento Valley,69,1.5,39.65,-122.74,T13N R17E S4 9 10 16,US Forest Service,Unit 31,Broadcast,Natural,12
3/2/2016,El Dorado County AQMD,El Dorado,Lake Tahoe,8,3,38.989,-120.1,T24N R10E S3,California State Parks,DL Bliss SP Hand Piles,Hand Pile,Slash,60
3/2/2016,El Dorado County AQMD,El Dorado,Lake Tahoe,10,5,38.886,-120.022,T13N R17E S4 9 10 16,US Forest Service,Twin Peaks 204,Hand Pile,Slash,50
