Managed Area Name,Burn Unit Name,Latitude,Longitude,Start Date,End Date,Type of Burn,Total Acres of Burn,TNC Acres Burned,Other Landowner,Rural or Urban,Burn Lead,StateName,BurnComplexity
Disney Wilderness Preserve,9,28.03336237,-81.38846124,6/11/2020,6/11/2020,Broadcast,1,1,,Rural,"[""TNC""]",Florida,Low
Rainwater Perdido River Preserve,"1,2",30.51607087,-87.44201386,6/11/2020,6/11/2020,Broadcast,110,110,,Rural,"[""TNC""]",Florida,Medium
Dye Creek ,Back Country and Breaks,40.06388889,-121.9983333,6/11/2020,6/11/2020,Broadcast,"1,158","1,158",,Rural,"[""Government Agency""]",California,Low
Oak Ridge Ravines Natural Area,MU12,33.71928999,-93.84210253,6/12/2020,6/12/2020,Broadcast,54,54,,Rural,"[""TNC""]",Arkansas,Medium
Juniper,o12,32.521792,-84.612406,6/12/2020,6/12/2020,Broadcast,93,93,,Rural,"[""TNC""]",Georgia,Medium
Disney Wilderness Preserve,9,28.03336237,-81.38846124,6/12/2020,6/12/2020,Broadcast,100,100,,Rural,"[""TNC""]",Florida,Low
North Belgium,North Belgium,47.9948,-96.5549,6/12/2020,6/12/2020,Broadcast,140,140,,Rural,"[""TNC""]",Minnesota,Low
Rainwater Perdido River Preserve,"2,3,4",30.50971165,-87.43549073,6/12/2020,6/12/2020,Broadcast,800,800,,Rural,"[""TNC""]",Florida,Medium
Calloway Forest,Calloway 29,35.03744,-79.27041,6/14/2020,6/14/2020,Broadcast,114,114,,Rural,"[""TNC""]",North Carolina,Medium
Apalachicola Bluffs & Ravines Preserve,"49, 50",30.54087525,-84.95264495,6/16/2020,6/16/2020,Broadcast,39,39,,Rural,"[""TNC""]",Florida,Low
Pine Knot,A11,32.406556,-84.653296,6/16/2020,6/16/2020,Broadcast,113,113,,Rural,"[""TNC""]",Georgia,Medium
Disney Wilderness Preserve,8,28.04345941,-81.39146531,6/16/2020,6/16/2020,Broadcast,280,280,,Rural,"[""TNC""]",Florida,Low
Apalachicola Bluffs & Ravines Preserve,"11, 12, 13, 14, 21",30.46542591,-84.98060429,6/17/2020,6/17/2020,Broadcast,215,215,,Rural,"[""TNC""]",Florida,Low
Disney Wilderness Preserve,Dorm Pond Triangle,28.11033419,-81.43237436,6/18/2020,6/18/2020,Broadcast,5,5,,Urban,"[""TNC""]",Florida,Low
Pine Knot,J8 subunit se,32.406556,-84.653296,6/19/2020,6/19/2020,Broadcast,50,50,,Rural,"[""TNC""]",Georgia,Medium
Black River,Citadel Track - Lewis A,34.48564,-78.23799,6/19/2020,6/19/2020,Broadcast,143,143,,Rural,"[""TNC""]",North Carolina,Medium
Warren Prairie Natural Area,Southwest Unit,33.57101891,-91.97996819,6/19/2020,6/19/2020,Broadcast,210,210,,Rural,"[""TNC""]",Arkansas,Medium
Fort Perry Black Creek,D16. F.Perry triangle,32.567774,-84.507378,6/22/2020,6/22/2020,Broadcast,32,32,,Rural,"[""TNC""]",Georgia,Medium
Disney Wilderness Preserve,Lake Russell,28.13918558,-81.4326855,6/23/2020,6/23/2020,Broadcast,45,45,,Urban,"[""TNC""]",Florida,Low
Disney Wilderness Preserve,Office Flatwoods,28.12862687,-81.42566884,6/24/2020,6/24/2020,Broadcast,43,43,,Urban,"[""TNC""]",Florida,Low
Disney Wilderness Preserve,Cowpen Flatwoods,28.04726353,-81.38631547,6/26/2020,6/26/2020,Broadcast,60,60,,Rural,"[""TNC""]",Florida,Low
Disney Wilderness Preserve,Reedy Creek N,28.12211705,-81.41601289,6/30/2020,6/30/2020,Broadcast,475,475,,Rural,"[""TNC""]",Florida,Low
Disney Wilderness Preserve,"28, 29, 30",28.12113297,-81.41936028,7/2/2020,7/2/2020,Broadcast,330,330,,Rural,"[""TNC""]",Florida,Low
Disney Wilderness Preserve,123 Scrub E,28.11231474,-81.41472543,7/10/2020,7/10/2020,Broadcast,25,25,,Rural,"[""TNC""]",Florida,Low
Flint Rock,Newport Units East,30.12689839,-84.13787568,7/11/2020,7/11/2020,Broadcast,"6,523",573,"[""Federal Government"",""State/Local Government""]",Rural,"[""TNC"",""Government Agency""]",Florida,Medium
Disney Wilderness Preserve,123 Scrub E,28.11231474,-81.41472543,7/14/2020,7/14/2020,Broadcast,258,258,,Rural,"[""TNC""]",Florida,Low
Disney Wilderness Preserve,3N,28.10250949,-81.41472543,7/16/2020,7/16/2020,Broadcast,396,396,,Rural,"[""TNC""]",Florida,Low
Rainwater Perdido River Preserve,"5,6",30.48353095,-87.42089951,7/21/2020,7/21/2020,Broadcast,550,550,,Rural,"[""TNC""]",Florida,Medium
Calhoun Spigelia Preserve,All,30.26486242,-85.1839372,7/22/2020,7/22/2020,Broadcast,33,33,,Rural,"[""TNC""]",Florida,Low
Konza Prairie ,"SuB, SuA",39.0737,-96.5674,8/4/2020,8/4/2020,Broadcast,95.1,95.1,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Konza Prairie ,"ALE, ALD, ALC",39.1001,-96.5909,8/4/2020,8/4/2020,Broadcast,190.07,190.07,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Felsenthal,Stateline Northwest,33.02249427,-92.16295922,8/4/2020,8/4/2020,Broadcast,300,300,,Rural,"[""TNC""]",Arkansas,Medium
Tallgrass Prairie Preserve,Bison East Home,36.850195,-96.392973,8/4/2020,8/4/2020,Broadcast,307,307,,Rural,"[""TNC""]",Oklahoma,Low
Felsenthal,Stateline Southwest,33.01112302,-92.16364587,8/5/2020,8/5/2020,Broadcast,125,125,,Rural,"[""TNC""]",Arkansas,Medium
Bluestem Prairie,BS-17,46.83735075,-96.44601344,8/6/2020,8/6/2020,Broadcast,0.1,0.1,,Rural,"[""TNC""]",Minnesota,Low
Ordway Prairie,SW Blackline,45.4384,-95.2456,8/11/2020,8/11/2020,Broadcast,5,5,,Rural,"[""TNC""]",Minnesota,Low
Regal Meadow,SW Resto,45.377,-94.8428,8/12/2020,8/12/2020,Broadcast,85,85,,Rural,"[""TNC""]",Minnesota,Low
Regal Meadow,Knutson,45.4082,-94.8732,8/18/2020,8/18/2020,Broadcast,80,80,,Rural,"[""TNC""]",Minnesota,Low
Ordway Prairie,Southeast 1,45.4321,-95.2364,8/19/2020,8/19/2020,Broadcast,10,10,,Rural,"[""TNC""]",Minnesota,Low
Ordway Prairie,Southeast 2,45.4351,-95.2363,8/19/2020,8/19/2020,Broadcast,10,10,,Rural,"[""TNC""]",Minnesota,Low
Platte River Prairies,Chandelle,40.77337485,-98.49976184,8/19/2020,8/19/2020,Broadcast,31,31,,Rural,"[""TNC""]",Nebraska,Low
Tallgrass Prairie Preserve,East Stish & East John Lee & ODWC,36.855966,-96.330788,8/19/2020,8/19/2020,Broadcast,"2,777","1,037","[""State/Local Government"",""Private""]",Rural,"[""TNC""]",Oklahoma,Low
Bluestem,BS-17 Blackline E,46.83599223,-96.44201802,8/20/2020,8/20/2020,Broadcast,2,2,,Rural,"[""TNC""]",Minnesota,Low
Bluestem,BS-17 Blackline,46.83970588,-96.44512938,8/20/2020,8/20/2020,Broadcast,3,3,,Rural,"[""TNC""]",Minnesota,Low
Oak Ridge Ravines,Loop Unit,33.71667748,-93.84837354,8/20/2020,8/20/2020,Broadcast,360,360,,Rural,"[""TNC""]",Arkansas,Medium
Bluestem,(BS-11)  BS-17 Blackline Contingency,46.83499405,-96.46135138,8/21/2020,8/21/2020,Broadcast,5,5,,Rural,"[""TNC""]",Minnesota,Low
Tallgrass Prairie Preserve,TNC & Bass & ODWC,36.883098,-96.339897,8/21/2020,8/21/2020,Broadcast,"1,641",20,,Rural,"[""TNC""]",Oklahoma,Low
Tallgrass Prairie Preserve,Sellers South,36.796938,-96.404755,8/24/2020,8/24/2020,Broadcast,379,379,,Rural,"[""TNC""]",Oklahoma,Low
Tallgrass Prairie Preserve,Middle John Lee South,36.829921,-96.354628,8/26/2020,8/26/2020,Broadcast,511,511,,Rural,"[""TNC""]",Oklahoma,Low
Tallgrass Prairie Preserve,West Stish SW,36.852999,-96.376303,8/31/2020,8/31/2020,Broadcast,613,613,,Rural,"[""TNC""]",Oklahoma,Low
Bibb County Glades,3,33.06177858,-87.03925336,9/4/2020,9/4/2020,Broadcast,35,35,,Rural,"[""TNC""]",Alabama,Low
Poison Springs Natural Area,French Creek Southeast Unit,33.7089845,-92.99890721,9/11/2020,9/11/2020,Broadcast,65,22,"[""State/Local Government""]",Rural,"[""TNC""]",Arkansas,Medium
Niobrara Valley Preserve,Mailbox,42.77419194,-100.0443898,9/16/2020,9/16/2020,Broadcast,100,100,,Rural,"[""TNC""]",Nebraska,Medium
Wah Kon-Tah,MOCO 3,37.88809123,-93.98600304,9/21/2020,9/21/2020,Broadcast,32,32,,Urban,"[""Government Agency""]",Missouri,Low
Tallgrass Prairie Preserve,"SW of ""T""",36.835949,-96.457971,9/21/2020,9/21/2020,Broadcast,484,484,,Rural,"[""TNC""]",Oklahoma,Low
Ordway Prairie,Burnette,45.4215,-95.2536,9/22/2020,9/22/2020,Broadcast,20,20,,Rural,"[""TNC""]",Minnesota,Low
Long Pond Barrens,"unit 6, Blacklining ",41.03800648,-75.50227845,9/23/2020,9/23/2020,Broadcast,10,10,,Rural,"[""TNC""]",Pennsylvania,Medium
Ordway Prairie,Knutson Blackline,45.4325,-95.2483,9/24/2020,9/24/2020,Broadcast,8,8,,Rural,"[""TNC""]",Minnesota,Low
Wah Kon-Tah,MOCO South,37.89037831,-93.98969376,9/25/2020,9/25/2020,Broadcast,87,87,,Rural,"[""Government Agency""]",Missouri,Medium
Williamson River Delta Preserve,Ag Burn 2020,42.497367,-121.958965,9/26/2020,9/26/2020,Broadcast,80,80,,Rural,"[""Ag Tenant""]",Oregon,Low
Cross Ranch,S CRP,47.24056418,-100.9858263,10/1/2020,10/1/2020,Broadcast,20,20,,Rural,"[""TNC""]",North Dakota,Medium
Green Swamp,Moon Island,34.13365921,-78.25282666,10/2/2020,10/2/2020,Broadcast,11,11,,Rural,"[""TNC""]",North Carolina,Medium
John E Williams,Beaches,47.52067793,-100.8023632,10/2/2020,10/2/2020,Broadcast,15,15,,Rural,"[""TNC""]",North Dakota,Low
Nassawango Creek Preserve,Unit 5,38.30187208,-75.45880011,10/8/2020,10/8/2020,Broadcast,43.8,43.8,,Rural,"[""TNC""]",Maryland,Medium
Ordway Prairie,Southwest,45.4371,-95.2505,10/8/2020,10/8/2020,Broadcast,164,164,,Rural,"[""TNC""]",Minnesota,Low
North Belgium,North Belgium,47.9948,-96.5549,10/9/2020,10/9/2020,Broadcast,140,140,,Rural,"[""TNC""]",Minnesota,Low
Flat Ranch Preserve,Unit 4,44.57147074,-111.3177598,10/9/2020,10/9/2020,Broadcast,160,160,,Rural,"[""Government Agency""]",Idaho,Medium
Clymer Meadow Preserve Complex,Clymer East ,33.304534,-96.237959,10/14/2020,10/14/2020,Broadcast,373,373,,Rural,"[""TNC""]",Texas,Medium
Niobrara Valley Preserve,Norden Bridge,42.78483405,-100.0340654,10/21/2020,10/21/2020,Broadcast,35,35,,Rural,"[""TNC""]",Nebraska,Medium
Ottawa Bluffs,Brushpiles (2 total),44.3638,-93.9342,10/24/2020,10/24/2020,Non-broadcast,,,,Rural,"[""TNC""]",Minnesota,Low
Niobrara Valley Preserve,Woodland Brushpiles,42.77960015,-99.99063242,10/25/2020,10/25/2020,Non-broadcast,,,,Rural,"[""TNC""]",Nebraska,Low
"Kankakee Sands Macrosite, Efroymson Restoration",G2,41.06293315,-87.42620187,10/28/2020,10/28/2020,Broadcast,70,70,,Rural,"[""TNC""]",Indiana,Low
Perseverance Barrens,Perseverance Barrens,38.12978967,-86.10965975,11/2/2020,11/2/2020,Broadcast,6.5,6.5,,Rural,"[""TNC""]",Indiana,Low
Wallace C Dayton Conservation and Wildlife Area,Twin Lakes Triangle,48.59,-96.4963,11/3/2020,11/3/2020,Broadcast,3,3,,Rural,"[""TNC""]",Minnesota,Low
IBP,Dropseed W,41.59472353,-87.68600543,11/3/2020,11/3/2020,Broadcast,6,6,,Urban,"[""TNC""]",Illinois,Low
IBP,Markham S,41.59498029,-87.68645966,11/3/2020,11/3/2020,Broadcast,10,10,,Urban,"[""TNC""]",Illinois,Low
Ranch North Woods,Fields Unit,34.81807862,-92.45911801,11/3/2020,11/3/2020,Broadcast,50,50,,Urban,"[""TNC""]",Arkansas,Medium
Contractors Leasing,West 80,47.13109078,-96.40133427,11/3/2020,11/3/2020,Broadcast,80,80,,Rural,"[""TNC""]",Minnesota,Low
Baxter's Hollow,Baxter South Flats,43.4,-89.835,11/3/2020,11/6/2020,Broadcast,155,155,,Rural,"[""TNC""]",Wisconsin,Medium
Niobrara Valley Preserve,Woodland ,42.78514886,-100.0107487,11/3/2020,11/3/2020,Broadcast,522,522,,Rural,"[""TNC""]",Nebraska,Medium
Pembina Trail SNA,Grids,47.68048767,-96.36054324,11/4/2020,11/5/2020,Broadcast,5,5,,Rural,"[""TNC""]",Minnesota,Low
Nachusa Grasslands,TCP N,41.89136317,-89.34179032,11/4/2020,11/4/2020,Broadcast,22,22,,Rural,"[""TNC""]",Illinois,Low
Konza Prairie ,"FA, FB",39.07,-96.5742,11/4/2020,11/4/2020,Broadcast,53.67,53.67,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Chelsea Flatwoods,"Sopko, Stoner",38.65553964,-85.51786039,11/4/2020,11/4/2020,Broadcast,80,80,,Rural,"[""TNC""]",Indiana,Low
Niobrara Valley Preserve,Garden Creek,42.7678151,-99.95477723,11/4/2020,11/4/2020,Broadcast,342,342,,Rural,"[""TNC""]",Nebraska,Medium
Montana Forests,Wisherd Ridge Cabin,46.92364,-113.78604,11/4/2020,11/4/2020,Non-broadcast,,,,Rural,"[""TNC""]",Montana,Low
IBP,Sundrop Marsh,41.59292598,-87.68587373,11/5/2020,11/5/2020,Broadcast,7,7,,Urban,"[""TNC""]",Illinois,Low
IBP,Paintbrush ,41.59261027,-87.68683127,11/5/2020,11/5/2020,Broadcast,9,9,,Urban,"[""TNC""]",Illinois,Low
IBP,"Sundrop, Paint Brush",41.60795788,-87.70565159,11/5/2020,11/5/2020,Broadcast,16,16,,Urban,"[""TNC""]",Illinois,Low
Nachusa Grasslands,TCP S,41.88778504,-89.34161866,11/5/2020,11/5/2020,Broadcast,27,27,,Rural,"[""TNC""]",Illinois,Low
Anderson County Prairie,Anderson County Prairie,38.176,-95.25,11/5/2020,11/5/2020,Broadcast,60,60,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Low
Ottawa Bluffs,Central & East,44.3638,-93.9342,11/6/2020,11/6/2020,Broadcast,46,46,,Rural,"[""TNC""]",Minnesota,Low
Jefferson County Parks Forest Bank,Jefferson County Parks Forest Bank,38.82501649,-85.4468815,11/6/2020,11/6/2020,Broadcast,200,200,,Rural,"[""TNC""]",Indiana,Low
Chelsea Flatwoods,Smallwood,38.66378573,-85.51714586,11/7/2020,11/7/2020,Broadcast,85,85,,Rural,"[""TNC""]",Indiana,Low
Nachusa Grasslands,CCK,41.88816842,-89.34161866,11/7/2020,11/7/2020,Broadcast,186,186,,Rural,"[""TNC""]",Illinois,Low
IBP,Markham S unit B,41.59288514,-87.68916678,11/8/2020,11/8/2020,Broadcast,10,10,,Urban,"[""TNC""]",Illinois,Low
Twin Creek Valley,Knapp,38.63727547,-86.20290326,11/9/2020,11/9/2020,Broadcast,60,60,,Rural,"[""TNC""]",Indiana,Low
Baldy Mountain Forest Reserve,Baldy Hand Piles 2020,46.92405243,-113.3769064,11/10/2020,11/10/2020,Non-broadcast,,,,Rural,"[""Contractor""]",Montana,Low
"Kankakee Sands Macrosite, Efroymson Restoration",B East,41.09163862,-87.41360023,11/11/2020,11/11/2020,Broadcast,60,60,,Rural,"[""TNC""]",Indiana,Low
Presson Oglesby,Foot,35.3445089,-94.01168904,11/12/2020,11/12/2020,Broadcast,75,75,,Rural,"[""TNC""]",Arkansas,Medium
"Kankakee Sands Macrosite, Efroymson Restoration",K Southwest,41.03963098,-87.46729084,11/12/2020,11/12/2020,Broadcast,180,180,,Rural,"[""TNC""]",Indiana,Low
IBP,Markham E,41.59318297,-87.69160951,11/13/2020,11/13/2020,Broadcast,15,15,,Urban,"[""TNC""]",Illinois,Low
Harrison County Glades,Buena Vista Glade,38.05825003,-85.97826516,11/13/2020,11/13/2020,Broadcast,19,19,,Rural,"[""TNC""]",Indiana,Low
Ottawa Bluffs,Brushpiles (2 total),44.3638,-93.9342,11/14/2020,11/14/2020,Non-broadcast,,,,Rural,"[""TNC""]",Minnesota,Low
Hatchineha Ranch,West,28.01199579,-81.47969926,11/17/2020,11/17/2020,Broadcast,360,360,,Rural,"[""TNC"",""Government Agency""]",Florida,Medium
Montana Forests,Placid Lake Fuels Hand Piles,47.11037197,-113.5096006,11/19/2020,11/19/2020,Non-broadcast,,,,Rural,"[""Contractor""]",Montana,Low
Nachusa Grasslands,SW corner Flagg Road,41.88282799,-89.34119211,11/20/2020,11/20/2020,Broadcast,9,9,,Rural,"[""TNC""]",Illinois,Low
Nachusa Grasslands,Bishop,41.88903511,-89.34364118,11/20/2020,11/20/2020,Broadcast,53,53,,Rural,"[""TNC""]",Illinois,Low
Oakbin Pond,1,32.223978,-83.773521,11/20/2020,11/20/2020,Broadcast,146,146,,Rural,"[""TNC""]",Georgia,Medium
Montana Forests,East Twin Creek RTRL Piles,46.928167,-113.70942,11/23/2020,11/23/2020,Non-broadcast,,,,Rural,"[""TNC""]",Montana,Low
Juniper and Pine Knot,Bergquist and wolfe,32.521792,-84.612406,11/24/2020,11/24/2020,Broadcast,46,46,,Rural,"[""TNC""]",Georgia,Medium
Montana Forests,Lost Prairie Hand Piles,47.08205,-113.45975,11/24/2020,11/24/2020,Non-broadcast,,,,Rural,"[""TNC""]",Montana,Low
Sycan Marsh Preserve,Sycan Piles 2020,42.86736491,-121.1422246,11/26/2020,11/27/2020,Non-broadcast,,,,Rural,"[""TNC""]",Oregon,Low
Montana Forests,Game Ridge Pine Unit 4 Piles,46.979499,-113.411139,11/30/2020,11/30/2020,Non-broadcast,,,,Rural,"[""TNC""]",Montana,Low
Niobrara Valley Preserve,Salzman South,42.72634975,-100.0608075,12/4/2020,12/4/2020,Broadcast,239,239,,Rural,"[""TNC""]",Nebraska,Medium
Trap Mountain,North,34.39535894,-93.20766288,12/7/2020,12/7/2020,Broadcast,83,83,,Rural,"[""TNC""]",Arkansas,Medium
Green Swamp,Shoestring,34.0944519,-78.28725541,12/9/2020,12/9/2020,Broadcast,30,30,,Rural,"[""Government Agency""]",North Carolina,Medium
Niobrara Valley Preserve,Salzman North,42.7335372,-100.060035,12/9/2020,12/9/2020,Broadcast,320,320,,Rural,"[""TNC""]",Nebraska,Medium
IBP,brush piles,41.60563479,-87.68332684,12/9/2020,12/9/2020,Non-broadcast,,,,Urban,"[""TNC""]",Illinois,Low
Tallgrass Prairie Preserve,HQ North House,36.846785,-96.424033,12/10/2020,12/10/2020,Broadcast,13,13,,Rural,"[""TNC""]",Oklahoma,Low
Tallgrass Prairie Preserve,HQ East,36.845889,-96.42108,12/10/2020,12/10/2020,Broadcast,19,19,,Rural,"[""TNC""]",Oklahoma,Low
Tallgrass Prairie Preserve,Mesonet & HQ Bottom,36.84242,-96.424223,12/10/2020,12/10/2020,Broadcast,124,124,,Rural,"[""TNC""]",Oklahoma,Low
"Kankakee Sands Macrosite, Efroymson Restoration",G Piles,41.0712673,-87.42731766,12/17/2020,12/17/2020,Non-broadcast,,,,Rural,"[""TNC""]",Indiana,Low
Keske Trust 1,Keske,42.809404,-88.443955,1/4/2021,1/8/2021,Non-broadcast,,,,Rural,"[""Contractor""]",Wisconsin,Low
Conrad Station Savanna,A6 Piles (3 Piles),41.10536113,-87.43851264,1/4/2021,1/4/2021,Non-broadcast,,,,Rural,"[""TNC""]",Indiana,Low
Conrad Station Savanna,A6 Piles (2 Piles),41.1052717,-87.43841568,1/5/2021,1/5/2021,Non-broadcast,,,,Rural,"[""TNC""]",Indiana,Low
Crooked Creek Aurora Uiv,Crooked Creek,42.833807,-88.473796,1/6/2021,1/8/2021,Non-broadcast,,,,Rural,"[""Contractor""]",Wisconsin,Low
Ottawa Bluffs,Brushpiles (8 total),44.3638,-93.9342,1/9/2021,1/9/2021,Non-broadcast,,,,Rural,"[""TNC""]",Minnesota,Low
Land of the Swamp White Oak,Brush Piles,41.3884038,-91.3205719,1/14/2021,1/14/2021,Non-broadcast,,,,Rural,"[""TNC""]",Iowa,Low
Land of the Swamp White Oak,Huffman,41.407,-91.305,1/14/2021,1/14/2021,Non-broadcast,,,,Rural,"[""TNC""]",Iowa,Low
Land of the Swamp White Oak,Peterson,41.407,-91.305,1/14/2021,1/14/2021,Non-broadcast,,,,Rural,"[""TNC""]",Iowa,Low
Miller County Sandhills NA,North,33.19742187,-94.03379003,1/17/2021,1/17/2021,Broadcast,80,30,"[""State/Local Government""]",Rural,"[""TNC""]",Arkansas,Medium
Calloway,Calloway 31,35.033422,-79.264862,1/20/2021,1/20/2021,Broadcast,47,47,,Rural,"[""TNC""]",North Carolina,High
Heatherly,Unit 2,34.7756,-78.5692,1/20/2021,1/20/2021,Broadcast,56,56,,Rural,"[""TNC""]",North Carolina,High
Black River,Unit 1,34.486,-78.229,1/20/2021,1/20/2021,Broadcast,140,140,,Rural,"[""TNC""]",North Carolina,Medium
Pine Knot,E3 big saunder,32.406556,-84.653296,1/20/2021,1/20/2021,Broadcast,354,354,,Rural,"[""TNC""]",Georgia,Medium
Conrad Station Savanna,A6 Piles (2 piles),41.10553904,-87.43796507,1/20/2021,1/20/2021,Non-broadcast,,,,Rural,"[""TNC""]",Indiana,Low
Ottawa Bluffs,Brushpiles (4 total),44.3638,-93.9342,1/23/2021,1/23/2021,Non-broadcast,,,,Rural,"[""TNC""]",Minnesota,Low
Weaver Dunes,Brushpiles (4 total),44.2514,-91.9429,1/25/2021,1/25/2021,Non-broadcast,,,,Rural,"[""TNC""]",Minnesota,Low
Conrad Station Savanna,A6 Piles (1 pile),41.10576029,-87.43733271,1/26/2021,1/26/2021,Non-broadcast,,,,Rural,"[""TNC""]",Indiana,Low
Cheraw State Park,I3/I5,34.603,-79.9543,1/28/2021,1/28/2021,Broadcast,194,194,,Rural,"[""TNC""]",South Carolina,Medium
Moody Forest Natural Area,7 pasture,31.911172,-82.30412,1/29/2021,1/29/2021,Broadcast,10,10,,Rural,"[""TNC""]",Georgia,Medium
Orton Creek,Joseph 2 & 3,34.001789,-78.043996,1/29/2021,1/29/2021,Broadcast,75,75,,Rural,"[""TNC""]",North Carolina,Medium
Cheraw State Park,E6/E7,34.6059,-79.9054,1/29/2021,1/29/2021,Broadcast,115,115,,Rural,"[""TNC""]",South Carolina,Medium
South River,South River,38.022634,-79.053951,2/1/2021,2/1/2021,Broadcast,10,10,,Rural,"[""TNC""]",Virginia,Medium
Greiner,Brush Piles,41.513,-91.073,2/2/2021,2/2/2021,Non-broadcast,,,,Rural,"[""TNC""]",Iowa,Low
Wah-Kon-Tah Prairie ,WKJ4 and WKJ123A,37.91761388,-93.9830695,2/3/2021,2/3/2021,Broadcast,56,56,,Rural,"[""Government Agency""]",Missouri,Medium
Bass,Bass unit 2,35.032299,-79.3740005,2/3/2021,2/3/2021,Broadcast,57,57,,Rural,"[""TNC""]",North Carolina,Low
Ottawa Bluffs,Brushpiles (2 total),44.3638,-93.9342,2/6/2021,2/6/2021,Non-broadcast,,,,Rural,"[""TNC""]",Minnesota,Low
Green Swamp,Wesley Point,34.0925,-78.3041,2/8/2021,2/8/2021,Broadcast,25,25,,Rural,"[""TNC""]",North Carolina,Medium
Green Swamp,Big Island,34.2542,-78.303,2/8/2021,2/8/2021,Broadcast,85,85,,Rural,"[""TNC""]",North Carolina,Medium
Weaver Dunes,Brushpiles (5 total),44.2514,-91.9429,2/9/2021,2/9/2021,Non-broadcast,,,,Rural,"[""TNC""]",Minnesota,Low
Conrad Station Savanna,Hunter Newton Piles (1 Pile),41.10152052,-87.44073311,2/10/2021,2/10/2021,Non-broadcast,,,,Rural,"[""TNC""]",Indiana,Low
Saddle Blanket Scrub Preserve,"9, 10",27.6558387,-81.56781318,2/11/2021,2/11/2021,Broadcast,80,80,,Rural,"[""TNC""]",Florida,Low
Conrad Station Savanna,Hunter Newton Piles (2 piles),41.10056515,-87.44103714,2/11/2021,2/11/2021,Non-broadcast,,,,Rural,"[""TNC""]",Indiana,Low
Wah-Kon-Tah Prairie ,"wkj2 (east) and WKJ4, small e portion of wkj1",37.90820032,-93.99414723,2/15/2021,2/15/2021,Broadcast,92,92,,Rural,"[""Government Agency""]",Missouri,Medium
Moody Forest Natural Area,7 west pasture,31.911172,-82.30412,2/17/2021,2/17/2021,Broadcast,10,10,,Rural,"[""TNC""]",Georgia,Medium
Conrad Station Savanna,Hunter Newton Piles (1 Pile),41.10068308,-87.44059591,2/17/2021,2/17/2021,Non-broadcast,,,,Rural,"[""TNC""]",Indiana,Low
Weaver Dunes,Brushpiles (2 total),44.2514,-91.9429,2/19/2021,2/19/2021,Non-broadcast,,,,Rural,"[""TNC""]",Minnesota,Low
Ottawa Bluffs,Brushpiles (5 total),44.3638,-93.9342,2/20/2021,2/20/2021,Non-broadcast,,,,Rural,"[""TNC""]",Minnesota,Low
Cheraw State Park,F10/F16/F17,34.6383,-79.9177,2/23/2021,2/23/2021,Broadcast,83,83,,Rural,"[""TNC""]",South Carolina,Medium
Hatchineha Ranch Mitigation Bank,"15, 20",28.02200273,-81.47477271,2/23/2021,2/23/2021,Broadcast,370,370,,Rural,"[""TNC""]",Florida,Medium
Skull Lake WMA,Central Dunes,48.9805,-96.7027,2/23/2021,2/23/2021,Non-broadcast,,,,Rural,"[""TNC""]",Minnesota,Low
Conrad Station Savanna,Hunter Newton Piles,41.10059076,-87.44071109,2/23/2021,2/23/2021,Non-broadcast,,,,Rural,"[""TNC""]",Indiana,Low
Williams Bluffs,"2 east, 11",31.189067,-85.089775,2/24/2021,2/24/2021,Broadcast,68,68,,Rural,"[""TNC""]",Georgia,Medium
Quewhiffle Preserve,Gozzi unit 6,35.052,-79.424,2/24/2021,2/24/2021,Broadcast,83,83,,Rural,"[""TNC""]",North Carolina,Low
Perdido River Preserve,Unit 7,30.46782793,-87.41111482,2/24/2021,2/24/2021,Broadcast,84,84,,Rural,"[""TNC""]",Florida,Medium
Sage's Ridge,Unit 1,34.4814,-77.5885,2/24/2021,2/24/2021,Broadcast,95,95,,Rural,"[""TNC""]",North Carolina,Medium
Sage's Ridge,Unit 2,34.4814,-77.5885,2/24/2021,2/24/2021,Broadcast,95,95,,Rural,"[""TNC""]",North Carolina,Medium
Cheraw State Park,E1/E2/E3,34.6168,-79.9104,2/24/2021,2/24/2021,Broadcast,178,178,,Rural,"[""TNC""]",South Carolina,Medium
Williams Bluffs,13 and 14,31.189067,-85.089775,2/24/2021,2/24/2021,Broadcast,197,197,,Rural,"[""TNC""]",Georgia,Medium
Bridgestone Chestnut Mountain Reserve,Shortleaf Pine ,35.87021,-85.29228,2/24/2021,2/25/2021,Broadcast,205,205,,Rural,"[""Government Agency""]",Tennessee,Medium
Cheraw State Park,G11/H7,34.6435,-79.9075,2/25/2021,2/25/2021,Broadcast,50,50,,Rural,"[""TNC""]",South Carolina,Medium
Tallgrass Prairie National Preserve,Big South/Bison East,38.45635601,-96.57439912,2/25/2021,2/25/2021,Broadcast,"1,960","1,960",,Rural,"[""Government Agency""]",Kansas,Medium
Konza Prairie ,WA and WB,39.071,-96.5742,2/26/2021,2/26/2021,Broadcast,59.18,59.18,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
