Ignition Date,Agency,Office,District,Burn Number,Burn Name,Daily Burn Acres Requested,Acres Burned,Location
2/18/2016,U.S. Forest Service,Coronado,Safford,CNF0417B,Galiuros (Muleshoe unit),500,0,(32.49441780798706; -110.2088748779297)
2/18/2016,U.S. Forest Service,,Cave Creek ,TNF0106P,Misc District Piles,5,5,(33.72208591704698; -111.66181259155274)
2/19/2016,U.S. Forest Service,Coronado,Safford,CNF0417B,Galiuros (Muleshoe unit),250,0,(32.496155231875825; -110.21230810546876)
2/22/2016,Arizona Department of Transportation (ADOT),,Arizona (ADOT),ADOT1209B,Arizona Department of Transportation hwy 89-A houserock valley,15,1,(36.707; -111.78300000000001)
2/22/2016,Bureau of Land Management,Colorado River,Colorado River (CRD),CRD0016B,Blue Tank,1000,0,(35; -113.83600000000001)
2/22/2016,U.S. Forest Service,,Payson,TNF0405B,Payson,115,6,(34.24508395758263; -111.26629298400877)
2/23/2016,U.S. Forest Service,,Payson,TNF0405B,Payson,617,0,(34.22940234558786; -111.265434677124)
2/24/2016,Arizona Department of Transportation (ADOT),,Arizona (ADOT),ADOT1209B,Arizona Department of Transportation hwy 89-A houserock valley,15,5,(36.707; -111.78300000000001)
2/24/2016,Bureau of Land Management,Colorado River,Colorado River (CRD),CRD0016B,Blue Tank,1000,400,(35; -113.83600000000001)
2/25/2016,Arizona Department of Transportation (ADOT),,Arizona (ADOT),ADOT1209B,Arizona Department of Transportation hwy 89-A houserock valley,15,5,(36.707; -111.78300000000001)
2/25/2016,Bureau of Land Management,Colorado River,Colorado River (CRD),CRD0016B,Blue Tank,300,400,(35; -113.83600000000001)
2/25/2016,Department of Defense,,Ft Huachuca,XXH1602B,Golf Course,1100,1100,(31.543315793562748; -110.31306915283204)
2/25/2016,U.S. Forest Service,,Mesa,TNF0301P,Mesa RD Admin/Rec Site Piles,10,10,(33.536440776582495; -111.42989697265625)
2/29/2016,Arizona Department of Transportation (ADOT),,Arizona (ADOT),ADOT1209B,Arizona Department of Transportation hwy 89-A houserock valley,15,4,(36.707; -111.78300000000001)
3/1/2016,Arizona Department of Transportation (ADOT),,Arizona (ADOT),ADOT1209B,Arizona Department of Transportation hwy 89-A houserock valley,15,7,(36.707; -111.78300000000001)
3/1/2016,Arizona Department of Transportation (ADOT),,Arizona (ADOT),ADOT1111bB,Tumbleweed burning on SR389,10,0,(36.95509741424101; -112.96099635449218)
3/1/2016,Bureau of Land Management,,Arizona Strip (ASD),ASD2001P,AZ-Strip District Fuel Breaks Pile Burn,30,0,(36.35510766879434; -113.12166699981691)
3/1/2016,Department of Defense,,Ft Huachuca,XXH1605B,Fortwide FY16,1592,150,(31.5579809690757; -110.3650396347046)
